amount,velocity,location_risk,device_change,fraud
3919,15,0,0,0
9562,8,0,1,0
28632,6,0,1,0
14998,5,0,0,0
46185,8,1,0,0
47742,7,1,1,0
32510,10,1,0,0
3063,16,1,1,0
1524,1,1,0,0
27161,8,0,0,0
44844,6,0,0,0
11985,6,0,0,0
23341,15,1,0,1
22457,18,1,0,1
40140,20,0,1,1
11006,4,0,0,0
40225,3,0,0,0
40892,12,0,0,1
43951,20,0,0,1
23887,6,0,0,0
3408,4,1,1,0
26008,6,0,1,0
11857,8,1,1,0
19503,19,1,0,0
38242,19,1,1,1
3754,15,0,1,0
19360,11,0,1,0
6611,5,0,0,0
19716,5,1,1,0
13768,13,0,1,0
19057,19,1,1,0
5600,10,0,0,0
22203,3,1,0,0
3664,7,0,1,0
4020,5,1,0,0
35875,4,1,0,0
40676,19,0,0,1
36030,2,1,0,0
36765,14,0,1,1
35039,5,0,0,0
11095,14,0,0,0
34027,12,1,1,1
26467,7,0,0,0
24789,9,0,0,0
6381,7,1,0,0
46212,8,1,0,0
16356,20,1,0,0
19173,2,1,0,0
3934,15,1,1,0
24881,1,0,1,0
36397,10,0,1,0
6632,1,0,1,0
31093,2,0,1,0
46005,5,1,1,0
3695,9,1,1,0
25151,8,1,1,0
11810,16,1,0,0
31266,9,0,0,0
6226,7,1,0,0
13166,5,1,0,0
21967,11,1,1,1
6405,5,1,1,0
3011,18,0,0,0
43092,19,1,0,1
44863,10,0,0,0
37264,4,0,0,0
11065,2,0,1,0
27818,14,0,0,1
43683,9,0,1,0
21023,11,0,1,1
32601,11,0,0,1
22397,8,0,0,0
9227,19,0,0,0
20640,18,0,0,1
4982,19,0,0,0
1029,9,1,1,0
7643,4,1,0,0
23087,14,1,0,1
42869,15,1,0,1
7369,9,0,1,0
34731,19,1,1,1
27380,16,0,0,1
41412,18,1,1,1
34725,8,0,0,0
43045,11,0,0,1
2257,1,0,1,0
18963,10,0,0,0
5238,11,0,0,0
38440,11,0,0,1
35822,12,0,1,1
22972,10,1,1,0
12681,2,0,0,0
16728,12,1,1,0
23884,18,1,0,1
31592,10,1,0,0
14163,3,0,1,0
25628,19,0,1,1
7726,18,0,0,0
46737,4,1,0,0
14498,16,1,0,0
36922,9,1,1,0
27825,20,0,0,1
8012,2,0,0,0
28334,5,1,1,0
41918,15,1,1,1
17986,7,0,1,0
22813,3,1,1,0
35795,16,0,0,1
40358,15,0,0,1
40050,7,1,0,0
31260,15,1,0,1
5113,3,0,1,0
45379,14,1,1,1
1149,10,1,1,0
42807,1,0,0,0
9785,10,1,1,0
13375,5,1,0,0
34680,9,0,1,0
37897,20,0,0,1
48382,6,0,0,0
42467,7,0,0,0
48346,4,0,1,0
11209,13,0,0,0
5139,19,0,0,0
14213,1,0,1,0
43466,20,1,1,1
21042,15,0,1,1
37488,7,1,1,0
6847,18,0,1,0
48747,20,0,1,1
40387,3,1,0,0
13860,17,1,1,0
6476,19,0,1,0
3947,2,0,1,0
43758,9,1,0,0
1113,4,1,1,0
45376,10,1,1,0
3429,12,1,0,0
29460,7,0,1,0
9927,10,0,0,0
34384,11,1,0,1
10201,20,1,1,0
27971,5,0,0,0
41678,7,1,1,0
42391,17,0,0,1
14928,12,0,0,0
18168,13,0,0,0
20239,14,1,1,1
46790,16,1,1,1
19582,11,0,1,0
24295,14,0,0,1
23391,17,0,0,1
28358,17,1,1,1
7391,20,0,0,0
46539,6,0,1,0
32497,4,1,1,0
37654,13,0,1,1
25918,2,0,1,0
41757,7,1,1,0
31254,2,0,0,0
45226,15,1,1,1
32436,14,0,0,1
9123,18,0,0,0
3021,18,0,1,0
586,15,1,0,0
15440,12,1,1,0
34376,14,0,0,1
13498,11,1,0,0
42112,14,0,1,1
7107,14,0,0,0
15947,14,0,1,0
715,5,1,0,0
45515,6,1,0,0
1999,2,0,0,0
41458,5,0,0,0
33059,5,1,1,0
15305,1,0,0,0
38313,4,1,1,0
19963,2,0,1,0
16217,15,0,0,0
12941,7,1,0,0
22052,19,0,1,1
13143,8,1,0,0
41789,16,0,1,1
37908,13,0,0,1
30010,1,0,1,0
19095,9,0,0,0
42718,13,1,1,1
38323,20,0,0,1
35466,6,0,1,0
9207,3,0,1,0
31858,17,0,0,1
3423,19,0,0,0
46054,7,0,1,0
28989,17,1,1,1
26040,16,0,1,1
18602,11,1,1,0
49080,15,0,0,1
7062,18,0,1,0
13172,9,0,1,0
34454,18,0,1,1
14522,15,1,1,0
42632,4,1,1,0
17653,2,1,1,0
43374,7,1,0,0
1215,20,1,0,0
44399,7,1,0,0
47824,14,0,0,1
20042,16,0,1,1
22582,13,1,1,1
19504,7,1,1,0
5944,15,0,1,0
49007,13,0,1,1
1391,6,0,0,0
44740,10,0,0,0
9546,5,1,0,0
32882,2,0,0,0
14395,7,0,0,0
36294,17,1,0,1
28059,4,1,0,0
31636,14,0,0,1
41815,20,1,1,1
6148,1,1,1,0
45524,12,0,1,1
1466,18,0,1,0
3222,5,0,0,0
8696,16,1,0,0
25966,19,0,0,1
14151,5,0,1,0
27486,1,1,1,0
43542,13,0,1,1
46132,17,0,1,1
44860,8,0,0,0
45195,15,1,1,1
34329,13,0,0,1
23294,1,1,1,0
30438,9,0,0,0
46885,7,1,0,0
30146,12,0,0,1
18256,2,0,0,0
43551,7,0,0,0
23436,12,0,0,1
1782,6,0,1,0
38108,5,0,0,0
49374,4,1,0,0
3911,9,0,0,0
1506,6,0,1,0
29695,14,1,0,1
38443,15,1,0,1
46661,10,0,0,0
23389,5,0,1,0
3619,7,1,0,0
9216,15,0,1,0
39858,2,0,0,0
34311,16,0,0,1
4581,1,1,0,0
2775,5,1,0,0
15327,8,0,0,0
4672,4,1,0,0
17379,17,0,0,0
22957,13,0,0,1
49527,15,1,1,1
9383,5,0,0,0
38810,7,1,1,0
4733,4,1,1,0
46653,19,1,0,1
14305,3,1,0,0
23779,17,1,1,1
3077,10,1,1,0
43475,12,1,1,1
22656,3,0,1,0
31113,10,0,0,0
27817,4,0,1,0
4260,8,1,1,0
18258,4,0,1,0
10282,11,1,0,0
35346,17,0,0,1
43421,3,1,0,0
11604,1,1,0,0
19311,4,0,0,0
13729,20,1,1,0
29336,13,0,0,1
48033,17,1,0,1
4569,9,0,0,0
40364,10,1,1,0
35164,3,1,1,0
36774,13,0,1,1
3103,3,1,0,0
13279,11,1,1,0
36574,20,1,1,1
3109,20,1,0,0
22228,1,1,0,0
13689,8,0,0,0
42844,20,1,1,1
37104,3,0,1,0
43753,20,0,0,1
34307,15,1,0,1
27357,1,0,1,0
42952,11,0,0,1
46049,16,0,1,1
573,10,0,1,0
14201,17,1,1,0
41540,16,1,0,1
1866,20,0,1,0
19500,18,0,1,0
36714,18,1,0,1
23653,2,0,0,0
13140,5,0,0,0
13299,10,1,0,0
32667,8,0,0,0
34766,14,1,1,1
43393,1,0,1,0
37837,12,1,1,1
10724,2,0,1,0
25083,9,1,1,0
22850,15,1,0,1
5923,2,0,0,0
10114,9,0,1,0
15633,4,0,0,0
43225,9,1,1,0
6936,3,1,0,0
23002,10,0,0,0
31126,14,1,0,1
15935,12,0,1,0
29911,12,0,1,1
20872,10,1,0,0
6839,12,0,0,0
35314,9,1,0,0
46824,7,1,1,0
18969,6,1,0,0
45808,1,0,0,0
42291,9,1,0,0
32109,8,1,1,0
15803,16,1,0,0
45238,13,0,1,1
25774,16,1,0,1
45017,18,1,0,1
46328,17,0,1,1
27499,12,1,0,1
43525,1,1,1,0
43049,2,0,1,0
34427,11,1,1,1
5643,8,0,1,0
31371,4,0,0,0
26607,18,1,1,1
28171,17,0,1,1
45497,15,0,1,1
27730,10,0,1,0
19034,17,1,1,0
6348,20,0,0,0
20753,11,0,1,1
19665,20,0,0,0
16399,19,1,0,0
465,9,1,0,0
49240,6,0,0,0
34514,3,0,1,0
9909,7,0,0,0
22800,20,1,0,1
21727,15,0,0,1
14238,9,0,1,0
14682,2,0,1,0
5017,17,1,1,0
22636,9,1,0,0
38596,18,0,1,1
11330,19,1,1,0
14749,11,0,1,0
24037,19,1,1,1
32633,15,1,0,1
11211,4,0,1,0
45514,12,1,1,1
13548,14,1,1,0
290,19,1,0,0
11654,4,1,0,0
30895,1,0,1,0
17850,15,0,0,0
30075,9,0,0,0
2632,4,1,1,0
32790,2,1,0,0
25880,14,1,1,1
15997,8,0,0,0
5568,15,1,0,0
25730,6,1,0,0
8213,6,0,1,0
18238,16,1,0,0
5416,3,1,1,0
9948,5,0,0,0
12929,14,0,1,0
33762,11,0,1,1
41743,10,0,0,0
33544,9,0,0,0
15659,15,1,1,0
11727,18,0,1,0
18435,12,1,0,0
40229,11,0,1,1
33394,8,1,0,0
23488,9,0,1,0
40573,8,1,0,0
18992,18,0,0,0
9989,7,0,1,0
34508,8,1,1,0
33625,9,0,0,0
20863,3,1,1,0
33366,5,1,1,0
36762,20,1,0,1
46080,14,0,1,1
16956,8,1,0,0
10063,8,0,0,0
34857,2,0,1,0
3850,5,0,1,0
32859,12,1,1,1
45351,1,0,0,0
43452,16,1,0,1
48251,19,1,0,1
44322,18,0,0,1
41858,4,0,0,0
224,9,1,0,0
6359,4,1,1,0
21303,3,0,0,0
32888,20,1,0,1
27405,17,0,1,1
8216,1,1,0,0
36951,19,0,0,1
3100,14,0,1,0
49075,2,1,1,0
2440,6,1,1,0
22929,1,0,1,0
39509,20,1,0,1
38105,14,1,0,1
46353,3,1,1,0
37651,6,1,0,0
46554,11,0,1,1
28349,9,1,0,0
29664,5,1,1,0
49659,13,1,1,1
20088,11,1,1,1
15751,1,0,1,0
5852,7,0,1,0
35313,4,1,0,0
40685,6,0,0,0
3129,16,0,1,0
22830,17,1,1,1
20494,2,0,1,0
32536,16,0,1,1
21591,6,0,0,0
42254,9,0,0,0
12168,10,1,1,0
25759,16,1,0,1
41103,17,1,0,1
36779,12,1,0,1
13954,20,1,0,0
9489,7,1,0,0
1473,13,0,0,0
23228,11,1,0,1
34522,10,0,0,0
19280,13,1,1,0
13883,3,0,0,0
5423,3,1,1,0
20083,7,1,1,0
48646,16,0,0,1
37087,19,0,1,1
16035,4,1,1,0
16008,4,0,1,0
43708,18,0,1,1
4622,8,1,0,0
10020,20,1,1,0
23756,11,1,1,1
10401,6,1,0,0
5278,8,0,1,0
37727,6,0,0,0
30554,4,1,0,0
38987,19,1,0,1
5428,17,1,0,0
26834,12,0,0,1
13214,2,1,0,0
34504,6,0,1,0
31583,14,1,1,1
23934,2,1,0,0
37376,12,1,1,1
44457,1,1,1,0
36939,4,1,0,0
12126,20,1,0,0
44031,15,0,1,1
7462,1,1,0,0
21145,6,1,0,0
19504,10,1,0,0
25688,7,1,0,0
11935,15,0,0,0
39743,10,0,0,0
10170,5,1,1,0
22091,7,0,1,0
3686,18,0,1,0
33874,9,1,1,0
9641,19,1,1,0
42123,16,0,0,1
46932,17,1,1,1
13283,18,1,0,0
40777,13,0,1,1
10215,16,0,1,0
33679,12,1,1,1
46334,13,1,0,1
16287,3,0,1,0
27918,8,0,1,0
965,16,1,0,0
23583,14,1,0,1
24165,3,0,1,0
38688,7,1,1,0
43855,20,1,1,1
10897,11,0,0,0
39315,16,0,0,1
5217,16,0,0,0
18983,16,0,0,0
36459,18,0,1,1
46846,16,1,0,1
16283,10,1,0,0
46745,11,0,1,1
45434,12,0,0,1
43761,12,1,1,1
48998,17,1,0,1
40237,9,1,1,0
3480,12,0,0,0
8917,19,1,0,0
38792,10,1,1,0
18707,9,0,1,0
31769,6,1,0,0
17923,18,0,0,0
3983,5,0,1,0
21645,13,1,0,1
24268,6,0,0,0
2576,1,1,1,0
9650,2,0,0,0
16727,3,0,1,0
32046,17,0,1,1
32026,10,0,1,0
4062,18,1,1,0
40709,7,1,1,0
24023,12,0,0,1
4374,14,1,0,0
13659,5,0,1,0
38792,9,1,0,0
49933,2,0,1,0
20651,9,0,1,0
17178,14,1,1,0
10677,13,0,0,0
28752,11,0,0,1
31046,12,0,0,1
23231,5,0,0,0
31670,7,1,1,0
31533,9,1,0,0
13210,7,0,1,0
19931,16,0,1,0
7727,10,1,0,0
5012,13,1,0,0
2920,10,0,0,0
37546,2,1,0,0
33300,11,0,1,1
21992,7,1,1,0
47311,14,1,1,1
36434,11,0,0,1
42384,6,0,1,0
20771,4,1,1,0
32346,2,1,0,0
47807,4,1,0,0
3454,14,0,1,0
14688,12,1,1,0
44912,10,0,1,0
1283,7,1,1,0
825,6,1,0,0
13572,4,0,0,0
31424,9,0,0,0
40689,19,1,1,1
45740,16,0,0,1
9299,17,1,0,0
25336,3,1,1,0
5192,15,1,0,0
6871,8,0,1,0
26387,5,0,1,0
23445,4,1,1,0
27058,19,1,0,1
36198,14,1,0,1
7860,11,1,0,0
26768,20,0,0,1
10778,8,1,1,0
37429,3,1,1,0
16169,15,0,0,0
218,4,0,1,0
8618,17,1,1,0
9284,7,1,1,0
15812,17,0,0,0
7157,12,1,1,0
1408,13,0,1,0
29176,17,1,0,1
1517,3,0,1,0
4249,16,1,0,0
6381,3,0,1,0
29317,14,0,0,1
31838,6,1,1,0
44113,11,0,1,1
26251,9,1,1,0
25941,13,0,1,1
35103,12,1,0,1
32307,3,0,0,0
30942,6,1,0,0
49706,3,0,0,0
17823,11,1,0,0
9372,14,1,0,0
8476,9,1,1,0
2176,16,0,1,0
2606,12,1,0,0
37493,12,1,0,1
36239,8,1,1,0
4646,5,0,1,0
14798,11,1,1,0
21247,11,1,1,1
2608,5,1,0,0
10872,5,0,0,0
39325,11,0,1,1
49594,19,0,1,1
9495,6,0,0,0
26540,4,0,1,0
43205,14,0,0,1
23641,3,0,0,0
49589,20,0,1,1
48158,19,1,1,1
30443,1,1,1,0
36692,17,0,1,1
36285,3,0,0,0
39570,16,0,0,1
15895,16,0,1,0
28630,19,1,1,1
13422,14,0,0,0
147,9,1,1,0
38932,1,0,0,0
44182,9,1,0,0
46677,1,1,0,0
36996,15,1,0,1
18118,11,0,1,0
18003,13,1,0,0
24828,2,1,0,0
2981,1,1,1,0
549,6,0,0,0
7443,6,1,0,0
2863,18,0,1,0
19287,5,0,0,0
445,13,0,0,0
39100,17,1,1,1
27973,15,1,1,1
14306,2,1,0,0
35539,15,0,0,1
2426,7,1,0,0
11129,5,1,1,0
16080,2,0,0,0
26501,8,0,1,0
14653,3,0,1,0
44243,10,1,1,0
9148,20,0,1,0
16450,8,0,1,0
7837,15,0,1,0
28168,1,0,0,0
12981,14,0,1,0
26666,7,1,0,0
25157,6,0,1,0
38265,13,1,0,1
17584,12,1,0,0
14859,4,1,0,0
33153,12,1,0,1
42699,7,1,0,0
20560,5,1,0,0
8683,5,1,0,0
32938,9,1,1,0
25639,11,1,1,1
23376,5,1,0,0
46295,19,0,1,1
24630,18,0,1,1
1687,11,0,1,0
20183,19,0,1,1
18661,3,0,0,0
20494,19,0,0,1
12596,1,1,0,0
3081,16,1,0,0
44095,5,0,1,0
4566,14,1,0,0
2155,20,0,0,0
10676,18,0,0,0
19061,15,1,0,0
21564,1,1,1,0
20083,9,1,0,0
32735,20,1,1,1
20069,2,0,1,0
35232,8,1,1,0
38137,10,0,1,0
38609,16,0,1,1
19090,3,1,0,0
21462,12,0,1,1
11219,10,0,0,0
28893,14,1,1,1
37504,20,1,0,1
10732,9,1,0,0
29810,1,1,1,0
20751,2,0,0,0
45486,11,0,0,1
33968,6,0,0,0
29347,7,1,0,0
2311,5,0,1,0
28900,15,0,1,1
2180,9,0,1,0
16052,17,1,0,0
36452,3,0,1,0
22845,7,0,1,0
8694,10,1,1,0
14614,18,1,1,0
30626,14,1,0,1
39193,10,0,0,0
35278,13,0,1,1
25291,18,1,0,1
2395,10,1,1,0
2210,9,0,1,0
3942,5,1,0,0
1646,2,1,0,0
41408,1,1,1,0
29490,16,0,1,1
26038,15,1,0,1
46362,14,0,1,1
22326,12,0,0,1
21081,8,1,0,0
29495,16,1,1,1
19842,19,0,0,0
38134,3,1,0,0
24420,19,0,1,1
49457,10,1,1,0
15671,12,0,0,0
38425,17,1,0,1
20356,2,0,1,0
1010,12,0,0,0
27963,2,0,1,0
28492,1,1,1,0
42775,2,0,0,0
20272,8,0,1,0
31214,6,0,0,0
44077,16,1,1,1
41262,19,0,1,1
44317,9,1,0,0
32799,7,0,0,0
46603,12,1,1,1
3513,2,0,0,0
40615,19,0,0,1
45298,13,0,1,1
41069,7,1,1,0
49191,20,0,1,1
27963,12,0,0,1
28288,3,1,0,0
16998,16,0,0,0
4697,5,0,0,0
27805,7,0,0,0
29412,14,1,1,1
14305,3,0,0,0
31807,14,0,0,1
49230,18,1,1,1
43065,15,0,1,1
5578,15,1,1,0
43142,14,0,1,1
40309,19,1,0,1
40764,15,0,0,1
7972,20,1,1,0
21740,19,0,0,1
6609,7,0,0,0
26991,16,1,0,1
10833,13,1,1,0
26884,6,0,0,0
17974,20,0,1,0
31386,17,1,0,1
33575,9,0,1,0
37908,1,0,1,0
38078,7,1,0,0
13355,7,0,0,0
23543,7,0,1,0
33232,17,0,0,1
27878,8,1,1,0
47434,1,0,1,0
2915,3,1,0,0
898,3,0,1,0
19137,14,0,0,0
21127,20,0,1,1
7395,11,0,0,0
20062,13,1,1,1
47391,19,1,1,1
29678,15,1,0,1
23320,11,1,0,1
45191,5,0,1,0
21129,3,0,1,0
38148,10,0,1,0
17345,1,0,1,0
34057,17,1,0,1
45930,18,0,1,1
24259,14,0,0,1
431,4,1,0,0
14123,10,0,0,0
17292,17,0,1,0
39916,12,0,0,1
12191,16,0,1,0
7634,3,1,1,0
9712,12,0,1,0
39764,14,1,0,1
38198,17,1,0,1
13841,6,1,1,0
17719,17,1,0,0
35162,5,1,0,0
4434,2,0,1,0
45662,12,0,1,1
251,13,1,0,0
37229,1,1,0,0
41749,7,1,1,0
20977,14,0,1,1
28149,16,1,1,1
15759,18,0,0,0
36239,7,0,1,0
16549,6,1,0,0
11441,19,1,0,0
10693,1,1,1,0
10692,4,1,0,0
13941,8,1,1,0
42077,6,1,1,0
9032,2,1,1,0
41327,2,1,1,0
42202,13,1,0,1
18633,2,0,1,0
28941,14,0,1,1
11895,4,0,0,0
34564,15,1,0,1
43291,2,1,0,0
49332,4,1,1,0
29509,1,0,1,0
24478,10,1,0,0
33487,19,0,0,1
36377,8,0,1,0
7730,9,1,1,0
6286,17,1,1,0
33357,19,1,1,1
25839,15,0,1,1
42983,13,1,1,1
2178,13,1,0,0
38007,15,1,0,1
5795,2,1,0,0
25843,8,0,0,0
29116,7,1,1,0
9333,2,0,1,0
39050,20,1,1,1
15440,5,0,0,0
1779,18,0,0,0
5486,1,0,1,0
43966,19,0,1,1
19683,2,1,1,0
38355,10,1,0,0
11419,7,0,1,0
13974,11,1,0,0
28520,5,1,1,0
1150,13,1,1,0
25686,14,1,0,1
28621,11,1,0,1
31578,9,1,1,0
28665,16,0,0,1
12242,6,0,1,0
17963,1,1,1,0
15366,20,0,1,0
5665,2,0,1,0
12968,4,0,1,0
26101,4,0,1,0
1425,19,0,0,0
20191,10,1,1,0
12384,12,1,0,0
22502,5,1,1,0
7117,13,1,0,0
9612,12,0,0,0
1177,15,0,1,0
12097,17,0,1,0
25049,4,0,1,0
37229,8,0,0,0
12051,5,1,0,0
49642,4,0,1,0
36488,2,1,1,0
41065,13,1,1,1
32061,18,1,0,1
16621,5,1,1,0
12469,2,0,0,0
34070,9,1,0,0
13092,19,0,0,0
6504,18,0,0,0
7297,10,1,0,0
22897,11,0,0,1
6270,12,0,1,0
38860,15,0,1,1
27923,6,1,0,0
45656,20,0,0,1
12151,5,0,1,0
4974,12,0,0,0
21148,19,1,0,1
6543,2,0,0,0
27963,3,0,0,0
33097,5,0,0,0
20713,8,0,1,0
26896,5,1,1,0
46374,9,0,0,0
32197,11,1,1,1
28902,13,1,0,1
46942,12,1,1,1
46346,6,0,1,0
685,14,0,0,0
19485,8,1,1,0
1707,11,0,1,0
32832,17,1,0,1
29215,11,0,1,1
12237,1,0,1,0
43979,1,0,1,0
1120,6,1,0,0
43992,2,1,1,0
2053,3,0,0,0
43984,17,0,0,1
2161,15,0,1,0
26569,17,0,1,1
31191,8,1,1,0
20888,4,1,1,0
44473,9,1,0,0
34420,18,0,1,1
35724,7,1,1,0
10102,12,0,1,0
19880,19,1,1,0
16145,10,0,1,0
23991,4,0,1,0
46536,12,0,1,1
7065,13,1,1,0
39792,14,0,1,1
16128,9,1,1,0
34574,10,0,0,0
45109,17,1,0,1
43770,8,0,1,0
14527,14,1,1,0
42844,8,0,0,0
29419,13,0,1,1
16171,3,0,1,0
47595,13,1,0,1
47592,18,0,1,1
39850,3,1,0,0
11161,5,0,0,0
27319,12,0,0,1
42080,19,0,1,1
29147,12,1,0,1
49801,13,1,0,1
33714,18,0,1,1
42001,11,0,0,1
46317,1,1,1,0
6877,11,1,0,0
36636,16,0,1,1
18466,12,1,1,0
7842,2,1,1,0
21496,10,0,0,0
3412,18,0,1,0
15799,11,1,1,0
8950,11,0,1,0
44085,18,1,0,1
13496,10,1,0,0
4135,11,0,0,0
18193,1,1,1,0
37427,6,1,0,0
21771,5,1,0,0
29532,1,0,0,0
19811,4,1,0,0
29846,15,1,0,1
13851,12,1,0,0
28538,6,1,0,0
25244,14,1,1,1
653,18,1,0,0
21184,15,1,1,1
26360,17,0,1,1
12014,2,0,0,0
40928,15,1,1,1
27810,2,0,1,0
4223,1,1,1,0
30311,7,1,0,0
10826,2,1,1,0
20224,6,1,0,0
16352,18,1,1,0
24394,20,1,0,1
23233,3,0,0,0
40805,7,1,0,0
25773,2,0,0,0
11974,13,1,0,0
35661,19,1,1,1
35710,4,0,1,0
18676,20,0,0,0
31798,3,0,0,0
37788,20,1,1,1
36052,18,0,1,1
26813,3,0,1,0
29786,3,0,1,0
35932,5,0,1,0
994,13,1,1,0
16638,15,1,1,0
46599,18,0,1,1
13306,7,0,1,0
23196,17,1,1,1
1983,13,1,1,0
42796,11,1,0,1
4130,18,0,0,0
16035,15,1,1,0
20592,18,1,0,1
40975,16,1,0,1
39367,10,1,1,0
36326,11,1,0,1
11121,7,0,1,0
23857,16,1,0,1
35585,12,0,1,1
31173,3,1,1,0
34291,12,0,0,1
32991,9,1,1,0
12484,2,0,0,0
43738,10,0,1,0
36807,3,0,0,0
49004,16,1,0,1
47934,4,0,0,0
48958,9,1,0,0
5826,7,0,0,0
48378,18,1,0,1
38830,18,1,1,1
9922,6,0,0,0
13043,8,1,1,0
12518,17,0,1,0
1193,9,1,1,0
42223,16,1,1,1
48766,11,0,1,1
38934,2,1,0,0
4282,8,0,1,0
16778,1,1,0,0
34193,4,0,0,0
13254,17,1,1,0
47275,17,0,0,1
43246,10,0,1,0
9107,12,1,1,0
5010,15,1,1,0
41810,2,0,0,0
15496,5,1,0,0
42176,13,1,0,1
26194,7,1,1,0
6244,2,1,1,0
17461,7,0,0,0
42395,14,0,0,1
44955,20,1,0,1
48090,9,1,1,0
38835,3,0,1,0
22634,8,0,1,0
2065,14,1,0,0
23023,6,0,0,0
25226,17,0,0,1
38741,18,0,0,1
13247,15,0,0,0
23694,5,0,0,0
35443,16,0,1,1
9896,8,1,0,0
26921,4,0,1,0
10608,12,0,1,0
14264,19,1,1,0
36364,12,0,1,1
18594,6,1,1,0
43300,1,0,0,0
23692,8,1,0,0
19159,18,0,0,0
10600,11,1,1,0
10367,19,0,1,0
10055,3,0,1,0
1689,14,0,0,0
13379,17,0,0,0
19285,15,1,1,0
44397,9,0,0,0
18296,8,0,0,0
37945,20,0,1,1
25650,2,0,1,0
36494,1,0,1,0
16175,1,0,1,0
14868,12,0,0,0
29260,3,0,1,0
31120,3,1,1,0
18903,19,0,0,0
48591,16,0,0,1
12466,13,0,1,0
39131,16,1,0,1
30282,6,0,0,0
23731,11,1,1,1
112,18,1,0,0
29699,20,0,1,1
6904,18,0,0,0
23815,12,1,1,1
37610,11,1,0,1
40898,13,1,0,1
28141,14,1,0,1
